time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-05-01T20:00:07.120Z,-23.284,-66.7561,215.47,4.6,mb,,52,2.095,1.55,us,us20002aqv,2015-05-01T20:22:26.993Z,"109km W of El Aguilar, Argentina",earthquake
2015-05-01T17:47:56.870Z,40.9552,143.008,42.35,4.5,mb,,109,1.064,1.02,us,us20002aq3,2015-05-01T21:38:07.531Z,"137km ENE of Hachinohe, Japan",earthquake
2015-05-01T17:16:03.570Z,5.4689,-82.6846,12.18,4.6,mb,,148,2.99,1.28,us,us20002apv,2015-05-01T20:52:43.052Z,"284km S of Punta de Burica, Panama",earthquake
2015-05-01T16:56:42.210Z,40.9485,143.1113,36.48,4.8,mb,,136,1.066,1.24,us,us20002apm,2015-05-01T17:21:01.962Z,"144km ENE of Hachinohe, Japan",earthquake
2015-05-01T16:00:10.060Z,-17.6,-178.7752,519.17,4.5,mb,,88,3.027,1.11,us,us20002ape,2015-05-01T17:07:32.059Z,"235km SE of Lambasa, Fiji",earthquake
2015-05-01T12:58:02.540Z,25.2112,123.0842,155.4,4.7,mb,,68,0.743,0.64,us,us20002an7,2015-05-01T21:00:37.541Z,"82km N of Yonakuni, Japan",earthquake
2015-05-01T08:58:41.570Z,10.7048,91.984,26.89,5.3,mb,,98,1.203,0.71,us,us20002aml,2015-05-01T14:37:39.993Z,"135km SW of Port Blair, India",earthquake
2015-05-01T08:06:04.990Z,-5.196,151.8013,57.04,6.8,mww,,18,1.061,0.77,us,us20002am6,2015-05-01T13:56:23.000Z,"106km SSW of Kokopo, Papua New Guinea",earthquake
2015-05-01T07:42:39.300Z,-2.9765,-80.4169,51.51,4.5,mb,,84,3.748,0.72,us,us20002am5,2015-05-01T15:45:21.900Z,"38km S of Playas, Ecuador",earthquake
2015-05-01T02:46:20.840Z,-9.4758,113.0126,57.24,5,mb,,65,2.91,1.24,us,us20002al3,2015-05-01T17:05:21.110Z,"123km S of Pujiharjo, Indonesia",earthquake
2015-05-01T00:21:09.650Z,-21.861,170.7004,143.01,5.1,mb,,43,3.956,0.74,us,us20002aki,2015-05-01T08:23:42.525Z,"151km WNW of Ile Hunter, New Caledonia",earthquake
2015-04-30T19:21:18.190Z,26.2355,94.8075,10,4.8,mb,,45,2.74,1.53,us,us20002aid,2015-05-01T18:24:03.137Z,"5km SSW of Tuensang, India",earthquake
2015-04-30T16:49:36.440Z,5.7892,126.2833,118.75,4.5,mb,,69,1.451,1.06,us,us20002ahh,2015-05-01T13:59:31.651Z,"64km S of Pondaguitan, Philippines",earthquake
2015-04-30T10:45:05.260Z,-5.3917,151.8179,48.88,6.7,mwc,,15,1.241,0.96,us,us20002ag9,2015-04-30T15:42:18.000Z,"125km SSW of Kokopo, Papua New Guinea",earthquake
2015-04-30T10:19:08.440Z,-60.403,-26.8476,10,5.8,mb,,54,14.769,1.26,us,us20002ag2,2015-04-30T18:21:48.808Z,"153km S of Bristol Island, South Sandwich Islands",earthquake
2015-04-30T06:29:56.720Z,38.5238,-29.1624,10,4.7,mb,,91,0.743,0.6,us,us20002aeh,2015-04-30T14:32:35.532Z,"40km W of Ribeira Grande, Portugal",earthquake
2015-04-30T05:34:23.470Z,-17.7632,-178.6761,557.39,4.6,mb,,80,3.117,0.78,us,us20002aea,2015-04-30T13:36:53.656Z,"254km SE of Lambasa, Fiji",earthquake
2015-04-30T05:08:55.870Z,0.7483,126.2358,45.87,4.7,mb,,62,1.131,0.77,us,us20002ae9,2015-04-30T13:11:33.829Z,"125km W of Kota Ternate, Indonesia",earthquake
2015-04-30T00:43:27.080Z,-23.6514,-67.7961,111.3,4.9,mb,,64,1.456,1.14,us,us20002acr,2015-04-30T08:46:03.976Z,"92km SSE of San Pedro de Atacama, Chile",earthquake
2015-04-29T22:10:52.170Z,28.4134,87.2704,10,4.5,mb,,91,4.977,0.91,us,us20002abh,2015-04-30T06:17:22.763Z,"30km SE of Xegar, China",earthquake
2015-04-29T16:09:52.160Z,40.0836,142.7651,39.67,5.2,mb,,102,1.742,0.96,us,us20002a7q,2015-05-01T10:21:49.744Z,"85km NE of Miyako, Japan",earthquake
2015-04-29T11:22:42.190Z,11.9115,-88.9266,31.38,5,mb,,116,1.789,1.05,us,us20002a56,2015-04-29T19:25:24.483Z,"157km SSW of Puerto El Triunfo, El Salvador",earthquake
2015-04-29T06:54:37.370Z,-31.6416,-174.5316,10,5.1,mb,,157,8.348,1.01,us,us20002a2h,2015-04-29T14:58:00.727Z,"Kermadec Islands region",earthquake
2015-04-29T02:37:46.190Z,27.473,53.3862,10,4.9,mb,,44,3.569,0.76,us,us20002a1c,2015-04-29T21:21:55.986Z,"77km WSW of Gerash, Iran",earthquake
2015-04-29T00:26:51.300Z,25.9589,128.4013,12.39,5,mb,,65,0.881,0.85,us,us20002a0t,2015-04-29T12:10:14.564Z,"67km SE of Haebaru, Japan",earthquake
2015-04-28T23:50:14.610Z,-5.1122,129.7558,204.58,4.5,mb,,76,3.237,0.92,us,us20002a0r,2015-04-29T07:52:54.252Z,"210km SE of Saparua, Indonesia",earthquake
2015-04-28T21:09:57.640Z,-5.4096,147.0619,177.29,4.5,mb,,152,3.97,0.48,us,us200029zk,2015-04-29T05:12:24.466Z,"141km E of Madang, Papua New Guinea",earthquake
2015-04-28T18:56:53.460Z,17.1424,-94.9899,111,5.5,mww,,43,2.864,1.15,us,us200029ys,2015-04-30T16:10:02.525Z,"8km E of Palomares, Mexico",earthquake
2015-04-28T17:49:52.170Z,43.1827,145.7214,78.93,4.5,mb,,143,2.224,0.83,us,us200029yd,2015-04-30T13:33:41.529Z,"19km SE of Nemuro, Japan",earthquake
2015-04-28T16:39:39.080Z,-20.8661,-178.6384,579.35,6.1,mww,,24,4.404,0.88,us,us200029x8,2015-04-29T01:56:22.000Z,"24km SSE of Ndoi Island, Fiji",earthquake
2015-04-28T13:32:40.250Z,6.05,152.0387,15.82,5.1,mb,,59,16.104,0.7,us,us200029vw,2015-04-28T21:35:15.505Z,"113km SW of Piis, Micronesia",earthquake
2015-04-28T12:41:37.200Z,-27.5291,-63.0324,603.91,4.6,mb,,45,5.227,0.83,us,us200029vq,2015-04-28T20:44:11.238Z,"58km SSE of El Hoyo, Argentina",earthquake
2015-04-28T11:19:52.230Z,-2.1511,-79.672,99.97,5.3,mb,,52,2.668,1.15,us,us200029t7,2015-04-29T15:32:17.157Z,"4km SSE of Yaguachi, Ecuador",earthquake
2015-04-28T07:33:23.380Z,10.2664,-84.6467,74.27,4.6,mb,,56,0.302,1.27,us,us200029st,2015-04-28T13:48:25.194Z,"11km SSW of Pocosol, Costa Rica",earthquake
2015-04-28T05:11:01.760Z,-4.8747,133.9207,16.76,4.7,mb,,111,2.56,0.39,us,us200029sh,2015-04-28T13:13:28.815Z,"103km NNW of Dobo, Indonesia",earthquake
2015-04-28T05:03:25.210Z,37.2968,71.9401,166.21,4.6,mb,,43,1.102,0.78,us,us200029sf,2015-04-28T13:05:53.739Z,"10km ENE of Roshtqal'a, Tajikistan",earthquake
2015-04-27T22:11:13.880Z,-56.25,-27.0714,107.52,4.6,mb,,102,5.733,0.72,us,us200029pl,2015-04-28T06:13:50.992Z,"50km N of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake
2015-04-27T18:59:56.750Z,28.0036,84.7534,20.01,4.8,mb,,60,5.84,0.69,us,us200029ma,2015-04-28T12:35:39.663Z,"44km ESE of Lamjung, Nepal",earthquake
2015-04-27T17:34:49.740Z,2.033,124.7774,251.6,4.5,mb,,85,2.875,0.73,us,us200029ls,2015-04-28T01:37:19.004Z,"60km N of Manado, Indonesia",earthquake
2015-04-27T15:51:46.230Z,27.6385,85.0551,10,4.5,mb,,140,5.717,0.81,us,us200029lc,2015-04-28T04:48:22.758Z,"22km WSW of Kirtipur, Nepal",earthquake
2015-04-27T15:48:28.360Z,3.6303,123.0911,524.16,4.5,mb,,100,3.403,0.64,us,us200029l6,2015-04-27T23:51:11.603Z,"296km SSE of Tabiauan, Philippines",earthquake
2015-04-27T14:16:29.760Z,34.9848,26.8342,10,4.5,mb,,144,0.621,0.95,us,us200029kh,2015-04-27T22:19:04.441Z,"58km ESE of Palaikastron, Greece",earthquake
2015-04-27T12:35:52.990Z,26.827,88.1055,29.42,5.1,mb,,34,3.595,0.67,us,us200029k7,2015-05-01T16:15:00.377Z,"10km SW of Mirik, India",earthquake
2015-04-27T12:04:59.150Z,6.0508,126.0935,149.83,4.6,mb,,121,5.395,0.5,us,us200029k3,2015-04-27T20:07:35.143Z,"35km SSW of Pondaguitan, Philippines",earthquake
2015-04-27T05:34:33.190Z,26.4512,53.4892,34.74,4.7,mb,,57,2.872,0.71,us,us200029j2,2015-04-27T07:15:40.196Z,"54km WSW of Kish, Iran",earthquake
2015-04-26T23:35:28.900Z,-8.3056,-79.8288,14.67,5.4,mb,,41,4.693,0.88,us,us200029gw,2015-04-29T23:20:53.000Z,"75km WSW of Santiago de Cao, Peru",earthquake
2015-04-26T22:32:34.010Z,27.4597,85.6194,10,4.6,mb,,150,5.896,1.19,us,us200029gc,2015-04-27T18:25:19.300Z,"17km SE of Panaoti, Nepal",earthquake
2015-04-26T21:10:31.270Z,-14.3573,-73.6412,70.3,4.6,mb,,129,3.907,1.16,us,us200029ff,2015-04-27T05:13:13.109Z,"57km NNE of Tambo, Peru",earthquake
2015-04-26T16:26:05.310Z,27.7612,85.7704,10,5.3,mwb,,32,5.086,0.65,us,us200029ea,2015-05-01T21:55:18.040Z,"25km ENE of Nagarkot, Nepal",earthquake
2015-04-26T15:34:47.200Z,-25.009,-68.8555,93.44,4.5,mb,,88,0.683,0.83,us,us200029e2,2015-04-26T23:37:46.126Z,"169km ENE of Taltal, Chile",earthquake
2015-04-26T14:44:49.360Z,27.532,85.7493,10,4.6,mb,,150,5.198,0.46,us,us200029dv,2015-04-26T18:15:19.177Z,"24km ESE of Panaoti, Nepal",earthquake
2015-04-26T14:05:31.080Z,-19.0869,-176.3029,298.57,4.6,mb,,139,5.522,0.59,us,us200029dk,2015-04-26T22:09:46.074Z,"219km WNW of Pangai, Tonga",earthquake
2015-04-26T13:11:15.030Z,27.7571,85.3745,10,4.5,mb,,79,5.41,0.62,us,us200029dc,2015-04-26T17:04:46.116Z,"8km NE of Kathmandu, Nepal",earthquake
2015-04-26T12:55:00.150Z,-1.9398,100.1963,57.36,4.8,mb,,137,2.403,0.39,us,us200029d7,2015-04-26T20:57:33.684Z,"77km SSW of Painan, Indonesia",earthquake
2015-04-26T12:12:07.280Z,-31.6623,-177.5448,40.93,4.7,mb,,142,2.432,0.44,us,us200029cy,2015-04-26T20:15:03.979Z,"131km ESE of L'Esperance Rock, New Zealand",earthquake
2015-04-26T10:38:04.440Z,-11.0272,120.671,35,4.8,mb,,112,2.833,0.36,us,us200029ci,2015-04-26T18:43:12.295Z,"89km S of Mbulung, Indonesia",earthquake
2015-04-26T10:36:06.560Z,-10.6354,120.3024,35,4.7,mb,,80,2.754,0.46,us,us200029cj,2015-04-26T18:38:49.247Z,"49km S of Nggongi, Indonesia",earthquake
2015-04-26T10:31:25.960Z,-10.5993,120.4003,35,4.5,mb,,79,2.662,1.17,us,us200029cg,2015-04-26T18:34:06.510Z,"44km SSW of Mbulung, Indonesia",earthquake
2015-04-26T09:00:27.960Z,-18.0027,168.1902,42.57,4.8,mb,,71,4.368,0.45,us,us200029c7,2015-04-27T02:02:10.133Z,"32km SSW of Port-Vila, Vanuatu",earthquake
2015-04-26T08:46:16.890Z,27.8449,85.6858,10,4.5,mb,,166,5.966,0.74,us,us200029c5,2015-04-26T17:07:07.594Z,"21km NE of Nagarkot, Nepal",earthquake
2015-04-26T08:40:55.220Z,27.591,85.6782,10,4.6,mb,,99,5.887,0.57,us,us200029c4,2015-04-26T15:33:43.900Z,"16km E of Panaoti, Nepal",earthquake
2015-04-26T07:36:26.360Z,27.7189,85.929,10,4.7,mb,,166,5.72,0.75,us,us200029by,2015-04-26T16:48:40.225Z,"25km S of Kodari, Nepal",earthquake
2015-04-26T07:26:04.420Z,27.707,85.8284,10,5,mb,,85,5.799,0.49,us,us200029bx,2015-04-26T19:51:55.510Z,"29km SSW of Kodari, Nepal",earthquake
2015-04-26T07:09:10.010Z,27.782,85.9971,17.26,6.7,mww,,19,4.894,0.99,us,us200029bt,2015-05-01T18:55:09.250Z,"19km SSE of Kodari, Nepal",earthquake
2015-04-26T02:48:39.050Z,28.156,84.6095,10,4.6,mb,,125,5.916,0.86,us,us200029b1,2015-04-26T05:22:46.152Z,"24km ESE of Lamjung, Nepal",earthquake
2015-04-26T02:18:00.750Z,-21.2529,-179.214,603.2,4.6,mb,,50,4.338,1.5,us,us200029ap,2015-04-26T10:21:00.068Z,"85km SW of Ndoi Island, Fiji",earthquake
2015-04-26T00:41:44.610Z,12.8508,143.6584,103.08,4.7,mb,,53,1.388,0.74,us,us200029a9,2015-04-26T07:28:11.491Z,"118km WSW of Merizo Village, Guam",earthquake
2015-04-26T00:23:52.380Z,-19.792,-177.7977,484.48,5,mb,,28,4.427,0.98,us,us200029a4,2015-04-26T08:27:57.718Z,"133km NE of Ndoi Island, Fiji",earthquake
2015-04-25T23:41:52.730Z,27.5598,85.9359,10,4.5,mb,,86,5.66,0.72,us,us2000299x,2015-04-26T07:49:45.703Z,"29km NNW of Ramechhap, Nepal",earthquake
2015-04-25T23:16:15.070Z,27.8052,84.8744,10,5.6,mb,,35,6.63,0.73,us,us2000299v,2015-05-01T20:52:10.040Z,"41km WNW of Kirtipur, Nepal",earthquake
2015-04-25T21:07:17.930Z,27.732,85.7266,10,4.7,mb,,89,5.893,0.54,us,us20002993,2015-04-26T17:48:53.501Z,"20km E of Nagarkot, Nepal",earthquake
2015-04-25T20:37:46.850Z,8.2241,-83.3816,12.03,4.7,mwr,,136,0.491,1.21,us,us2000298z,2015-04-25T23:35:16.225Z,"51km SSW of Golfito, Costa Rica",earthquake
2015-04-25T20:01:36.470Z,23.9631,122.4993,23.46,5.1,mwr,,55,0.685,1.09,us,us2000298l,2015-04-29T00:37:02.769Z,"75km SW of Yonakuni, Japan",earthquake
2015-04-25T17:42:50.930Z,28.2621,85.7739,10,5.4,mb,,37,4.904,0.88,us,us2000297g,2015-05-01T21:15:27.040Z,"22km WNW of Chongdui, China",earthquake
2015-04-25T17:09:19.810Z,-4.3175,143.2778,123.87,5.1,mb,,18,4.665,0.9,us,us20002975,2015-04-28T15:08:25.781Z,"48km E of Ambunti, Papua New Guinea",earthquake
2015-04-25T16:41:15.680Z,3.1167,128.1432,125.18,5.3,mb,,37,2.455,0.95,us,us20002973,2015-04-26T00:43:56.211Z,"154km N of Tobelo, Indonesia",earthquake
2015-04-25T16:27:21.780Z,27.9087,85.6175,10,4.9,mb,,79,6.045,0.95,us,us20002970,2015-04-26T11:43:22.702Z,"23km NNE of Nagarkot, Nepal",earthquake
2015-04-25T14:10:02.830Z,27.5843,85.6622,10,4.6,mb,,86,5.898,0.87,us,us20002965,2015-04-25T21:31:26.595Z,"14km E of Panaoti, Nepal",earthquake
2015-04-25T13:36:14.640Z,27.7476,85.89,10,4.6,mb,,185,5.762,0.8,us,us2000295x,2015-04-25T21:38:56.326Z,"23km SSW of Kodari, Nepal",earthquake
2015-04-25T13:30:28.240Z,28.1078,85.0726,10,4.6,mb,,135,6.566,1.23,us,us2000295v,2015-04-25T14:15:26.303Z,"51km NNW of Kathmandu, Nepal",earthquake
2015-04-25T12:44:04.400Z,28.1513,84.6587,10,5.2,mb,,37,6.924,1.13,us,us2000295i,2015-04-26T12:40:03.256Z,"29km ESE of Lamjung, Nepal",earthquake
2015-04-25T12:17:55.920Z,28.0049,85.5638,10,4.5,mb,,98,5.164,0.74,us,us2000295f,2015-04-25T13:20:35.860Z,"32km N of Nagarkot, Nepal",earthquake
2015-04-25T10:40:35.880Z,27.5667,85.8384,10,4.8,mb,,166,5.112,0.62,us,us2000294x,2015-04-25T11:18:26.622Z,"32km E of Panaoti, Nepal",earthquake
2015-04-25T09:30:29.590Z,27.9938,85.437,10,5,mb,,79,6.225,0.91,us,us2000294i,2015-04-26T09:54:31.465Z,"31km NNW of Nagarkot, Nepal",earthquake
2015-04-25T09:17:02.710Z,28.4282,87.3382,10,5.7,mb,,36,4.936,0.81,us,us2000294g,2015-04-26T09:53:32.472Z,"33km SE of Xegar, China",earthquake
2015-04-25T09:03:15.420Z,27.8741,85.3069,10,4.9,mb,,82,6.291,0.65,us,us2000294e,2015-04-25T17:06:53.495Z,"19km N of Kathmandu, Nepal",earthquake
2015-04-25T08:55:55.730Z,27.6364,85.5029,10,5.3,mb,,42,6.049,0.81,us,us2000294d,2015-04-25T09:42:00.034Z,"1km WNW of Banepa, Nepal",earthquake
2015-04-25T08:29:24.360Z,27.9903,84.7097,10,5,mb,,90,6.827,0.62,us,us20002946,2015-04-25T10:44:04.814Z,"41km SE of Lamjung, Nepal",earthquake
2015-04-25T08:20:11.980Z,27.9528,85.7219,10,4.7,mb,,55,5.976,0.91,us,us20002944,2015-04-25T16:25:18.399Z,"22km W of Kodari, Nepal",earthquake
2015-04-25T08:16:59.090Z,27.6733,85.6878,10,4.9,mb,,89,5.905,0.52,us,us20002942,2015-04-25T16:19:39.879Z,"17km ENE of Banepa, Nepal",earthquake
2015-04-25T08:05:37.730Z,27.7307,85.7304,10,4.6,mb,,105,5.13,0.61,us,us2000293v,2015-04-25T08:57:17.865Z,"20km E of Nagarkot, Nepal",earthquake
2015-04-25T07:47:01.690Z,27.8549,85.5572,10,5,mb,,79,6.076,0.81,us,us2000293p,2015-04-25T08:52:38.183Z,"15km NNE of Nagarkot, Nepal",earthquake
2015-04-25T07:39:33.910Z,27.6659,85.7483,10,4.5,mb,,99,5.142,0.68,us,us2000293l,2015-04-25T15:42:21.269Z,"22km E of Banepa, Nepal",earthquake
2015-04-25T07:16:56.830Z,28.002,85.2694,10,4.8,mb,,127,5.41,0.98,us,us2000293d,2015-04-25T15:20:10.173Z,"33km N of Kathmandu, Nepal",earthquake
2015-04-25T07:13:44.320Z,27.5458,85.5502,10,4.8,mb,,105,5.352,0.68,us,us2000293i,2015-04-25T07:55:23.304Z,"5km SE of Panaoti, Nepal",earthquake
2015-04-25T07:07:59.620Z,27.7278,85.9185,10,5,mb,,86,12.38,0.78,us,us20002939,2015-04-25T08:11:43.314Z,"25km S of Kodari, Nepal",earthquake
2015-04-25T06:56:34.450Z,27.91,85.6501,10,5.5,mb,,55,5.127,1.03,us,us20002934,2015-04-26T17:09:07.526Z,"25km NNE of Nagarkot, Nepal",earthquake
2015-04-25T06:45:21.380Z,28.1927,84.8645,14.62,6.6,mb,,16,5.69,1.17,us,us2000292y,2015-04-29T12:50:22.749Z,"49km E of Lamjung, Nepal",earthquake
2015-04-25T06:37:58.720Z,27.7239,85.8182,9.85,5.1,mb,,76,5.062,0.67,us,us2000292w,2015-04-25T16:37:33.121Z,"28km SSW of Kodari, Nepal",earthquake
2015-04-25T06:35:45.470Z,32.8475,140.4477,77.16,5.3,mb,,62,0.596,1.21,us,us2000292n,2015-04-25T14:38:34.913Z,"65km ESE of Hachijo-jima, Japan",earthquake
2015-04-25T06:21:53.000Z,60.0488,-153.5419,180,4.6,ml,,,,0.88,ak,ak11563833,2015-04-25T07:21:22.818Z,"65km SW of Redoubt Volcano, Alaska",earthquake
2015-04-25T06:11:26.270Z,28.1473,84.7079,15,7.8,mww,,35,5.835,1.19,us,us20002926,2015-05-01T18:32:12.292Z,"34km ESE of Lamjung, Nepal",earthquake
2015-04-25T00:49:07.440Z,-7.6835,127.5406,166.67,4.7,mb,,50,3.735,1.26,us,us20002911,2015-04-25T08:53:10.314Z,"237km ENE of Dili, East Timor",earthquake
2015-04-25T00:37:41.640Z,13.8316,144.7988,139.73,5.1,mb,,60,0.25,0.76,us,us20002910,2015-04-25T09:45:14.039Z,"34km NNW of Yigo Village, Guam",earthquake
2015-04-24T22:14:44.550Z,38.6562,-29.1142,10,4.8,mb,,117,0.681,0.75,us,us2000290j,2015-04-25T06:17:21.636Z,"39km WNW of Ribeira Grande, Portugal",earthquake
2015-04-24T17:01:40.270Z,-7.3195,120.6939,530.2,4.6,mb,,48,2.011,0.81,us,us200028wp,2015-04-25T15:40:39.107Z,"109km N of Dampek, Indonesia",earthquake
2015-04-24T13:56:16.020Z,51.7685,-130.6951,10,6.2,mww,,68,1.65,0.85,us,us200028ue,2015-04-25T15:27:59.537Z,"182km WSW of Bella Bella, Canada",earthquake
2015-04-24T07:37:52.080Z,36.4586,142.8525,34.91,4.6,mb,,136,2.161,0.79,us,us200028s3,2015-04-24T15:40:23.644Z,"187km ESE of Iwaki, Japan",earthquake
2015-04-24T06:20:47.950Z,36.3131,68.5451,48.74,4.6,mb,,84,1.814,1.24,us,us200028rq,2015-04-24T14:23:53.220Z,"25km NW of Baghlan, Afghanistan",earthquake
2015-04-24T05:28:07.680Z,-0.1937,124.2783,77.25,5,mb,,30,1.726,1,us,us200028rg,2015-04-24T13:30:38.463Z,"72km SSE of Molibagu, Indonesia",earthquake
2015-04-24T03:36:43.230Z,-42.0632,172.9994,55,6.1,mww,,22,0.308,0.97,us,us200028qc,2015-04-27T23:48:36.799Z,"68km NW of Kaikoura, New Zealand",earthquake
2015-04-24T02:51:07.610Z,-6.5588,154.9522,77.01,5.1,mb,,55,3.638,0.64,us,us200028q4,2015-04-24T10:53:38.789Z,"64km WSW of Panguna, Papua New Guinea",earthquake
2015-04-24T01:34:55.070Z,40.4269,-127.1681,10,5.4,mww,,50,2.3,1.16,us,us200028pe,2015-04-30T23:36:55.358Z,"246km W of Ferndale, California",earthquake
2015-04-24T01:29:48.690Z,51.7761,-175.1827,51.48,5.3,mb,,68,0.604,0.7,us,us200028pd,2015-05-01T21:43:55.745Z,"82km SW of Atka, Alaska",earthquake
2015-04-23T23:58:21.810Z,12.2704,95.0071,28.37,4.9,mb,,73,2.297,0.9,us,us200028p4,2015-04-24T08:00:48.910Z,"254km ENE of Port Blair, India",earthquake
2015-04-23T22:21:04.990Z,-18.5257,-175.4007,194.53,4.7,mb,,75,5.213,1.25,us,us200028nu,2015-04-24T06:23:39.043Z,"150km W of Neiafu, Tonga",earthquake
2015-04-23T14:57:30.700Z,51.7467,176.3821,55.98,5.3,mb,,109,1.713,0.85,us,us200028ka,2015-05-01T20:04:00.935Z,"74km SSE of Buldir Island, Alaska",earthquake
2015-04-23T14:31:40.050Z,45.7368,142.1024,304,5,mb,,104,1.304,0.98,us,us200028jz,2015-04-23T15:02:38.135Z,"46km NNE of Makubetsu, Japan",earthquake
2015-04-23T12:23:42.890Z,41.9182,142.2571,53.77,4.5,mb,,107,0.678,0.64,us,us200028jn,2015-04-23T20:26:22.946Z,"47km S of Shizunai, Japan",earthquake
2015-04-23T11:14:13.520Z,-30.8772,-178.0532,10,4.7,mb,,115,1.63,0.79,us,us200028jh,2015-04-23T19:16:55.022Z,"101km NE of L'Esperance Rock, New Zealand",earthquake
2015-04-23T10:52:20.710Z,1.7074,128.6382,63.94,4.6,mb,,111,1.574,1.21,us,us200028je,2015-04-23T18:54:58.483Z,"69km E of Tobelo, Indonesia",earthquake
